ID,技能名称,主动攻击,被普通攻击击中,被技能击中,金币,等级,技能,物品,技能
SK05113,,8,2,5,2000,,,,SK05114
SK05114,,8,2,5,3000,,,,
SK05121,,15,3,6,0,19,,,SK05122
SK05122,,15,3,6,1000,,,,SK05123
SK05123,,15,3,6,2000,,,,SK05124
SK05124,,15,3,6,3000,,,,
SK05131,,13,3,6,0,29,,,SK05132
SK05132,,12,2,6,1000,,,,SK05133
SK05133,,11,2,6,2000,,,,SK05134
SK05134,,10,2,6,3000,,,,
SK05211,,,,,0,0,,,SK05212
SK05212,,,,,1000,,,,SK05213
SK05213,,,,,2000,,,,SK05214
SK05214,,,,,3000,,,,
SK05221,,,,,0,14,,,SK05222
SK05222,,,,,1000,,,,SK05223
SK05223,,,,,2000,,,,SK05224
SK05224,,,,,3000,,,,
SK05231,,,,,0,19,,,SK05232
SK05232,,,,,1000,,,,SK05233
SK05233,,,,,2000,,,,SK05234
SK05234,,,,,3000,,,,
SK05241,,,,,0,24,,,SK05242
SK05242,,,,,1000,,,,SK05243
SK05243,,,,,2000,,,,SK05244
SK05244,,,,,3000,,,,
SK06111,,14,3,6,0,0,,,SK06112
SK06112,,13,2,5,1000,,,,SK06113
SK06113,,12,2,5,2000,,,,SK06114
SK06114,,11,2,4,3000,,,,
SK06121,,12,3,6,0,20,,,SK06122
SK06122,,12,3,6,1000,,,,SK06123
SK06123,,12,3,6,2000,,,,SK06124
SK06124,,12,3,6,3000,,,,
SK06131,,13,3,6,0,28,,,SK06132
SK06132,,12,3,6,1000,,,,SK06133
SK06133,,11,2,5,2000,,,,SK06134
SK06134,,10,2,5,3000,,,,
SK06211,,,,,0,0,,,SK06212
SK06212,,,,,1000,,,,SK06213
SK06213,,,,,2000,,,,SK06214
SK06214,,,,,3000,,,,
SK06221,,,,,0,16,,,SK06222
SK06222,,,,,1000,,,,SK06223
SK06223,,,,,2000,,,,SK06224
SK06224,,,,,3000,,,,
SK06231,,,,,0,20,,,SK06232
SK06232,,,,,1000,,,,SK06233
SK06233,,,,,2000,,,,SK06234
SK06234,,,,,3000,,,,
SK06241,,,,,0,24,,,SK06242
SK06242,,,,,1000,,,,SK06243
SK06243,,,,,2000,,,,SK06244
SK06244,,,,,3000,,,,
SK07111,,12,3,6,0,0,,,SK07112
SK07112,,11,2,5,1000,,,,SK07113
SK07113,,10,2,5,2000,,,,SK07114
SK07114,,9,2,5,3000,,,,
SK07121,,15,3,6,0,25,,,SK07122
SK07122,,15,3,6,1000,,,,SK07123
SK07123,,12,3,6,2000,,,,SK07124
SK07124,,12,3,6,3000,,,,
SK07131,,12,3,6,0,32,,,SK07132
SK07132,,11,2,5,1000,,,,SK07133
SK07133,,10,2,5,2000,,,,SK07134
SK07134,,9,2,5,3000,,,,
SK07211,,,,,0,0,,,SK07212
SK07212,,,,,1000,,,,SK07213
SK07213,,,,,2000,,,,SK07214
SK07214,,,,,3000,,,,
SK07221,,,,,0,23,,,SK07222
SK07222,,,,,1000,,,,SK07223
SK07223,,,,,2000,,,,SK07224
SK07224,,,,,3000,,,,
SK07231,,,,,0,28,,,SK07232
SK07232,,,,,1000,,,,SK07233
SK07233,,,,,2000,,,,SK07234
SK07234,,,,,3000,,,,
SK07241,,,,,0,33,,,SK07242
SK07242,,,,,1000,,,,SK07243
SK07243,,,,,2000,,,,SK07244
SK07244,,,,,3000,,,,
SK08111,,13,3,6,0,0,,,SK08112
SK08112,,12,3,6,1000,,,,SK08113
SK08113,,11,3,6,2000,,,,SK08114
SK08114,,10,2,5,3000,,,,
SK08121,,13,3,6,0,30,,,SK08122
SK08122,,12,3,6,1000,,,,SK08123
SK08123,,11,3,6,2000,,,,SK08124
SK08124,,10,2,5,3000,,,,
SK08131,,16,4,7,0,35,,,SK08132
SK08132,,15,3,6,1000,,,,SK08133
SK08133,,14,3,6,2000,,,,SK08134
SK08134,,13,3,6,3000,,,,
SK08211,,,,,0,0,,,SK08212
SK08212,,,,,1000,,,,SK08213
SK08213,,,,,2000,,,,SK08214
SK08214,,,,,3000,,,,
SK08221,,,,,0,28,,,SK08222
SK08222,,,,,1000,,,,SK08223
SK08223,,,,,2000,,,,SK08224
SK08224,,,,,3000,,,,
SK08231,,,,,0,31,,,SK08232
SK08232,,,,,1000,,,,SK08233
SK08233,,,,,2000,,,,SK08234
SK08234,,,,,3000,,,,
SK08241,,,,,0,34,,,SK08242
SK08242,,,,,1000,,,,SK08243
SK08243,,,,,2000,,,,SK08244
SK08244,,,,,3000,,,,
SK08251,,,,,0,37,,,SK08252
SK08252,,,,,1000,,,,SK08253
SK08253,,,,,2000,,,,SK08254
SK08254,,,,,3000,,,,
SK09111,,13,3,6,0,0,,,SK09112
SK09112,,12,3,6,1000,,,,SK09113
SK09113,,11,3,6,2000,,,,SK09114
SK09114,,10,2,5,3000,,,,
SK09121,,13,3,6,0,35,,,SK09122
SK09122,,12,3,6,1000,,,,SK09123
SK09123,,11,3,6,2000,,,,SK09124
SK09124,,10,2,5,3000,,,,
SK09131,,13,3,6,0,40,,,SK09132
SK09132,,13,3,6,1000,,,,SK09133
SK09133,,10,2,5,2000,,,,SK09134
SK09134,,10,2,5,3000,,,,
SK09211,,,,,0,0,,,SK09212
SK09212,,,,,1000,,,,SK09213
SK09213,,,,,2000,,,,SK09214
SK09214,,,,,3000,,,,
SK09221,,,,,0,32,,,SK09222
SK09222,,,,,1000,,,,SK09223
SK09223,,,,,2000,,,,SK09224
SK09224,,,,,3000,,,,
SK09231,,,,,0,35,,,SK09232
SK09232,,,,,1000,,,,SK09233
SK09233,,,,,2000,,,,SK09234
SK09234,,,,,3000,,,,
SK09241,,,,,0,38,,,SK09242
SK09242,,,,,1000,,,,SK09243
SK09243,,,,,2000,,,,SK09244
SK09244,,,,,3000,,,,
SK10111,,15,3,6,0,0,,,SK10112
SK10112,,15,3,6,1000,,,,SK10113
SK10113,,13,3,6,2000,,,,SK10114
SK10114,,13,3,6,3000,,,,
SK10121,,13,3,6,0,0,,,SK10122
SK10122,,12,3,6,1000,,,,SK10123
SK10123,,11,3,6,2000,,,,SK10124
SK10124,,10,2,5,3000,,,,
SK10131,,16,3,6,0,40,,,SK10132
SK10132,,14,3,6,1000,,,,SK10133
SK10133,,12,3,6,2000,,,,SK10134
SK10134,,10,2,5,3000,,,,
SK10211,,,,,0,0,,,SK10212
SK10212,,,,,1000,,,,SK10213
SK10213,,,,,2000,,,,SK10214
SK10214,,,,,3000,,,,
SK10221,,,,,0,0,,,SK10222
SK10222,,,,,1000,,,,SK10223
SK10223,,,,,2000,,,,SK10224
SK10224,,,,,3000,,,,
SK10231,,,,,0,40,,,SK10232
SK10232,,,,,1000,,,,SK10233
SK10233,,,,,2000,,,,SK10234
SK10234,,,,,3000,,,,
SK11111,,15,3,7,0,0,,,SK11112
SK11112,,14,3,7,1000,,,,SK11113
SK11113,,13,3,6,2000,,,,SK11114
SK11114,,12,3,6,3000,,,,
SK11121,,14,3,6,0,0,,,SK11122
SK11122,,10,2,5,1000,,,,SK11123
SK11123,,8,2,3,2000,,,,SK11124
SK11124,,6,2,3,3000,,,,
SK11131,,15,3,6,0,0,,,SK11132
SK11132,,15,3,6,1000,,,,SK11133
SK11133,,13,3,6,2000,,,,SK11134
SK11134,,13,3,6,3000,,,,
SK11211,,,,,0,0,,,SK11212
SK11212,,,,,1000,,,,SK11213
SK11213,,,,,2000,,,,SK11214
SK11214,,,,,3000,,,,
SK11221,,,,,0,0,,,SK11222
SK11222,,,,,1000,,,,SK11223
SK11223,,,,,2000,,,,SK11224
SK11224,,,,,3000,,,,
SK11231,,,,,0,0,,,SK11232
SK11232,,,,,1000,,,,SK11233
SK11233,,,,,2000,,,,SK11234
SK11234,,,,,3000,,,,
SK11241,,,,,0,0,,,SK11242
SK11242,,,,,1000,,,,SK11243
SK11243,,,,,2000,,,,SK11244
SK11244,,,,,3000,,,,
