ID,名称,描述,图标,品质,物品等级,使用等级,是否绑定,价格,自动销毁时间,属性,基础值1,强化成长值,打造成长值,附加属性,基础值2,升级成长值,打造成长值,升级至指定物品
W1012307,流风湾寨主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.25,
W1012309,死灵杀手,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2,
W1012401,太阳圣女,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1012407,流风湾寨主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.25,
W1012408,星月使者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.9,
W1012409,死灵杀手,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2,
W1012410,上古火魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2,
W1012411,火焰精灵,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2.5,
W1012501,太阳圣女,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1012505,月亮公主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.05,
W1012510,上古火魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2,
W1012511,火焰精灵,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2.5,
W1013101,传送门守护者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1013102,蝙蝠妖,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1013103,占星师学徒,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.75,
W1013201,传送门守护者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1013202,蝙蝠妖,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1013203,占星师学徒,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.75,
W1013204,丛林土著,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.5,
W1013205,灵魂医士,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1013206,时间傀儡,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2.5,
W1013304,丛林土著,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.5,
W1013305,灵魂医士,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1013306,时间傀儡,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2.5,
W1013307,上古冰魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,6,3,
W1013308,上古巫魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,2.1,
W1013403,占星师学徒,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.75,
W1013405,灵魂医士,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1013407,上古冰魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,6,3,
W1013408,上古巫魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,2.1,
W1013506,时间傀儡,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2.5,
W1013507,上古冰魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,6,3,
W1013508,上古巫魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,2.1,
