ID,等级,序号,效果,目标类型,作用目标,持续回合,持续次数,数值类型,作用数值
XG071112,1,2,1,6,1,3,,2,-5
XG071121,2,1,20,6,2,,,2,60
XG071122,2,2,1,6,2,3,,2,-5
XG071131,3,1,20,6,3,,,2,90
XG071132,3,2,1,6,3,3,,2,-5
XG071141,4,1,20,6,4,,,2,120
XG071142,4,2,1,6,4,3,,2,-5
XG071211,1,1,20,2,,,,2,50
XG071212,1,2,15,2,,,3,,
XG071221,2,1,20,2,,,,2,100
XG071222,2,2,15,2,,,3,,
XG071231,3,1,20,2,,,,2,150
XG071232,3,2,15,2,,,3,,
XG071241,4,1,20,2,,,,2,200
XG071242,4,2,15,2,,,3,,
XG071311,1,1,20,4,,,,2,40
XG071312,1,2,3,4,,,2,2,-8
XG071321,2,1,20,4,,,,2,80
XG071322,2,2,3,4,,,2,2,-8
XG071331,3,1,20,4,,,,2,120
XG071332,3,2,3,4,,,3,2,-8
XG071341,4,1,20,4,,,,2,160
XG071342,4,2,3,4,,,3,2,-8
XG072111,1,1,10,1,,,,2,1
XG072121,2,1,10,1,,,,2,2
XG072131,3,1,10,1,,,,2,3
XG072141,4,1,10,1,,,,2,4
XG072211,1,1,2,1,,,,2,3
XG072221,2,1,2,1,,,,2,5
XG072231,3,1,2,1,,,,2,7
XG072241,4,1,2,1,,,,2,9
XG072311,1,1,22,1,,,,2,3
XG072321,2,1,22,1,,,,2,6
XG072331,3,1,22,1,,,,2,9
XG072341,4,1,22,1,,,,2,12
XG072411,1,1,25,,,,,,
XG072421,2,1,25,,,,,,
XG072431,3,1,25,,,,,,
XG072441,4,1,25,,,,,,
XG081111,1,1,20,6,1,,,2,30
XG081112,1,2,6,6,1,,8,1,-6
XG081121,2,1,20,6,2,,,2,60
XG081122,2,2,6,6,2,,8,1,-6
XG081131,3,1,20,6,3,,,2,90
XG081132,3,2,6,6,3,,8,1,-6
XG081141,4,1,20,6,4,,,2,120
XG081142,4,2,6,6,4,,8,1,-6
XG081211,1,1,20,4,,,,2,40
XG081212,1,2,5,4,,,8,2,-20
XG081221,2,1,20,4,,,,2,70
XG081222,2,2,5,4,,,8,2,-40
XG081231,3,1,20,4,,,,2,100
XG081232,3,2,5,4,,,8,2,-60
XG081241,4,1,20,4,,,,2,130
XG081242,4,2,5,4,,,8,2,-80
XG081311,1,1,20,4,,,,2,20
XG081312,1,2,7,4,,,99999,2,20
XG081321,2,1,20,4,,,,2,50
XG081322,2,2,7,4,,,99999,2,30
XG081331,3,1,20,4,,,,2,70
XG081332,3,2,7,4,,,99999,2,40
XG081341,4,1,20,4,,,,2,100
XG081342,4,2,7,4,,,99999,2,50
XG082111,1,1,10,1,,,,2,1
XG082121,2,1,10,1,,,,2,2
XG082131,3,1,10,1,,,,2,3
XG082141,4,1,10,1,,,,2,4
XG082211,1,1,2,1,,,,2,3
XG082221,2,1,2,1,,,,2,5
XG082231,3,1,2,1,,,,2,7
XG082241,4,1,2,1,,,,2,10
XG082311,1,1,3,1,,,,2,focus
XG082321,2,1,3,1,,,,2,2*focus
XG082331,3,1,3,1,,,,2,3*focus
XG082341,4,1,3,1,,,,2,4*focus
XG082411,1,1,18,1,,,,2,5
XG082421,2,1,18,1,,,,2,10
XG082431,3,1,18,1,,,,2,15
XG082441,4,1,18,1,,,,2,20
XG082511,1,1,25,,,,,,
XG082521,2,1,25,,,,,,
XG082531,3,1,25,,,,,,
XG082541,4,1,25,,,,,,
XG091111,1,1,20,4,,,,2,50
XG091112,1,2,4,4,,,1,2,-20
XG091121,2,1,20,4,,,,2,50
XG091122,2,2,4,4,,,2,2,-20
XG091131,3,1,20,4,,,,2,50
XG091132,3,2,4,4,,,3,2,-20
XG091141,4,1,20,4,,,,2,50
XG091142,4,2,4,4,,,4,2,-20
XG091211,1,1,20,4,,,,2,50
XG091212,1,2,3,4,,,6,2,-10
XG091221,2,1,20,4,,,,2,50
XG091222,2,2,3,4,,,6,2,-15
XG091231,3,1,20,4,,,,2,50
XG091232,3,2,3,4,,,6,2,-20
XG091241,4,1,20,4,,,,2,50
XG091242,4,2,3,4,,,6,2,-25
XG091311,1,1,20,2,,,,2,150
XG091321,2,1,20,2,,,,2,200
XG091331,3,1,20,2,,,,2,250
XG091332,3,2,12,8,1,,,2,15
XG091341,4,1,20,2,,,,2,300
XG091342,4,2,12,8,1,,,2,25
XG092111,1,1,11,1,,,,2,1
XG092121,2,1,11,1,,,,2,2
XG092131,3,1,11,1,,,,2,3
XG092141,4,1,11,1,,,,2,4
XG092211,1,1,4,1,,,,2,focus
XG092221,2,1,4,1,,,,2,2*focus
XG092231,3,1,4,1,,,,2,3*focus
XG092241,4,1,4,1,,,,2,4*focus
XG092311,1,1,25,,,,,,
XG092321,2,1,25,,,,,,
XG092331,3,1,25,,,,,,
XG092341,4,1,25,,,,,,
XG092411,1,1,25,,,,,,
XG092421,2,1,25,,,,,,
XG092431,3,1,25,,,,,,
XG092441,4,1,25,,,,,,
XG101111,1,1,20,2,,,,2,100
XG101121,2,1,20,2,,,,2,150
XG101131,3,1,20,2,,,,2,200
XG101132,3,2,12,8,1,,,2,15
XG101141,4,1,20,2,,,,2,250
XG101142,4,2,12,8,1,,,2,25
XG101211,1,1,4,3,,,3,2,10
XG101221,2,1,4,3,,,6,2,15
XG101231,3,1,4,3,,,9,2,20
XG101241,4,1,4,3,,,12,2,25
XG101311,1,1,6,3,,,10,1,5
XG101321,2,1,6,3,,,10,1,10
XG101331,3,1,6,3,,,10,1,15
XG101341,4,1,6,3,,,10,1,20
XG102111,1,1,11,1,,,,2,1
XG102121,2,1,11,1,,,,2,2
XG102131,3,1,11,1,,,,2,3
XG102141,4,1,11,1,,,,2,4
XG102211,1,1,25,,,,,,
XG102221,2,1,25,,,,,,
XG102231,3,1,25,,,,,,
XG102241,4,1,25,,,,,,
XG102311,1,1,25,,,,,,
XG102321,2,1,25,,,,,,
XG102331,3,1,25,,,,,,
XG102341,4,1,25,,,,,,
XG111111,1,1,10,3,,,99999,2,0.15*focus
XG111112,1,2,11,3,,,99999,2,0.15*focus
XG111113,1,3,8,3,,,99999,2,0.15*focus
XG111121,2,1,10,3,,,99999,2,0.3*focus
XG111122,2,2,11,3,,,99999,2,0.3*focus
XG111123,2,3,8,3,,,99999,2,0.3*focus
XG111131,3,1,10,3,,,99999,2,0.45*focus
XG111132,3,2,11,3,,,99999,2,0.45*focus
XG111133,3,3,8,3,,,99999,2,0.45*focus
XG111141,4,1,10,3,,,99999,2,0.6*focus
XG111142,4,2,11,3,,,99999,2,0.6*focus
XG111143,4,3,8,3,,,99999,2,0.6*focus
XG111211,1,1,23,6,1,,,2,5
XG111221,2,1,23,6,2,,,2,10
XG111231,3,1,23,6,4,,,2,15
XG111241,4,1,23,6,4,,,2,20
XG111311,1,1,20,6,1,,,2,150
XG111321,2,1,20,6,2,,,2,200
XG111331,3,1,20,6,4,,,2,250
XG111341,4,1,20,6,4,,,2,300
XG112111,1,1,4,1,,,,2,focus
XG112121,2,1,4,1,,,,2,2*focus
XG112131,3,1,4,1,,,,2,4*focus
XG112141,4,1,4,1,,,,2,8*focus
XG112211,1,1,,,,,,,
XG112221,2,1,,,,,,,
XG112231,3,1,,,,,,,
XG112241,4,1,,,,,,,
XG112311,1,1,18,1,,,,2,5
XG112321,2,1,18,1,,,,2,10
XG112331,3,1,18,1,,,,2,15
XG112341,4,1,18,1,,,,2,20
XG112411,1,1,25,,,,,,
XG112421,2,1,25,,,,,,
XG112431,3,1,25,,,,,,
XG112441,4,1,25,,,,,,
