物品ID - Item ID,显示名称,物品说明,美术资源,价格,品质,使用等级,最大堆叠数量,是否绑定,是否可放入仓库,是否买卖,是否可丢弃,销毁时间,物品等级,使用效果ID,
D030203,白银钥匙,白银制作的钥匙，做工优良，能够开启白银宝箱,D030203,20,1,1,99,1,1,1,1,-1,1,,
D030204,黄金钥匙,黄金制作的钥匙，贵重华丽，能够开启黄金宝箱,D030204,20,1,1,99,1,1,1,1,-1,1,,
D030205,月光之匙,月亮的精华凝聚而成，清明皎洁，能够开启月光宝盒,D030205,20,1,1,99,1,1,1,1,-1,1,,
D040101,黑曜石,通体幽黑色的奇石，卖给杂货商可换取少量银币,D040101,20,1,1,99,1,1,1,1,-1,1,,
D040102,尖晶石,呈海蓝色的晶体状异石。卖给杂货商可换取较多银币,D040102,20,1,1,99,1,1,1,1,-1,1,,
D040103,猫眼石,形如猫眼的奇石，卖给杂货商可换取较多银币,D040103,20,1,1,99,1,1,1,1,-1,1,,
D040104,五色石,罕见的五色玉石，卖给杂货商可换取不少银币,D040104,20,1,1,99,1,1,1,1,-1,1,,
D040105,星光石,“星月石”，价值连城。卖给杂货商可换取大量银币,D040105,20,1,1,99,1,1,1,1,-1,1,,
D050101,祭品：力量,祈福所必须的物品，使用后消失,D050101,20,1,1,99,1,1,1,1,-1,1,,
D050102,祭品：幸运,祈福所必须的物品，使用后消失,D050102,20,1,1,99,1,1,1,1,-1,1,,
D050103,祭品：财富,祈福所必须的物品，使用后消失,D050103,20,1,1,99,1,1,1,1,-1,1,,
D050104,祭品：眷顾,祈福所必须的物品，使用后消失,D050104,20,1,1,99,1,1,1,1,-1,1,,
D050105,祭品：祝福,祈福所必须的物品，使用后消失,D050105,20,1,1,99,1,1,1,1,-1,1,,
D060101,投资券1页,证明你进行过风险投资，集齐十页可合成投资礼包,D060101,50,1,1,20,1,1,1,1,-1,1,,
D060102,投资券2页,证明你进行过风险投资，集齐十页可合成投资礼包,D060102,50,1,1,20,1,1,1,1,-1,1,,
D060103,投资券3页,证明你进行过风险投资，集齐十页可合成投资礼包,D060103,50,1,1,20,1,1,1,1,-1,1,,
D060104,投资券4页,证明你进行过风险投资，集齐十页可合成投资礼包,D060104,50,1,1,20,1,1,1,1,-1,1,,
D060105,投资券5页,证明你进行过风险投资，集齐十页可合成投资礼包,D060105,50,1,1,20,1,1,1,1,-1,1,,
D060106,投资券6页,证明你进行过风险投资，集齐十页可合成投资礼包,D060106,50,1,1,20,1,1,1,1,-1,1,,
D060107,投资券7页,证明你进行过风险投资，集齐十页可合成投资礼包,D060107,50,1,1,20,1,1,1,1,-1,1,,
D060108,投资券8页,证明你进行过风险投资，集齐十页可合成投资礼包,D060108,50,1,1,20,1,1,1,1,-1,1,,
D060109,投资券9页,证明你进行过风险投资，集齐十页可合成投资礼包,D060109,50,1,1,20,1,1,1,1,-1,1,,
D060110,投资券0页,证明你进行过风险投资，集齐十页可合成投资礼包,D060110,50,1,1,20,1,1,1,1,-1,1,,
D060201,投资证书1,证明你进行过风险投资，集齐十页可合成投资大礼包,D060201,200,1,1,20,1,1,1,1,-1,1,,
D060202,投资证书2,证明你进行过风险投资，集齐十页可合成投资大礼包,D060202,200,1,1,20,1,1,1,1,-1,1,,
D060203,投资证书3,证明你进行过风险投资，集齐十页可合成投资大礼包,D060203,200,1,1,20,1,1,1,1,-1,1,,
D060204,投资证书4,证明你进行过风险投资，集齐十页可合成投资大礼包,D060204,200,1,1,20,1,1,1,1,-1,1,,
D060205,投资证书5,证明你进行过风险投资，集齐十页可合成投资大礼包,D060205,200,1,1,20,1,1,1,1,-1,1,,
D060206,投资证书6,证明你进行过风险投资，集齐十页可合成投资大礼包,D060206,200,1,1,20,1,1,1,1,-1,1,,
D060207,投资证书7,证明你进行过风险投资，集齐十页可合成投资大礼包,D060207,200,1,1,20,1,1,1,1,-1,1,,
D060208,投资证书8,证明你进行过风险投资，集齐十页可合成投资大礼包,D060208,200,1,1,20,1,1,1,1,-1,1,,
D060209,投资证书9,证明你进行过风险投资，集齐十页可合成投资大礼包,D060209,200,1,1,20,1,1,1,1,-1,1,,
D060210,投资证书0,证明你进行过风险投资，集齐十页可合成投资大礼包,D060210,200,1,1,20,1,1,1,1,-1,1,,
D060301,投资礼包,辛苦投资的额外收益,D060301,1000,1,1,1,1,1,1,1,-1,1,,
D060302,投资大礼包,辛苦投资的额外收益,D060302,5000,1,20,1,1,1,1,1,-1,1,,
D070101,天书残页,升级阵型所需的基础物品,D070101,200,1,20,1,1,1,1,1,-1,1,,
D070201,铭刻符石,阵型学习材料,D070201,3000,1,20,1,1,1,1,1,-1,1,,
D070301,洗练符石,一级阵型升级材料,D070301,3000,1,20,1,1,1,1,1,-1,1,,
D070302,雕琢符石,二级阵型升级材料,D070302,3000,1,20,1,1,1,1,1,-1,1,,
D070303,精细符石,三级阵型升级材料,D070303,3000,1,20,1,1,1,1,1,-1,1,,
D070304,极致符石,四级阵型升级材料,D070304,3000,1,20,1,1,1,1,1,-1,1,,
D070305,无限符石,五级阵型升级材料,D070305,3000,1,20,1,1,1,1,1,-1,1,,
D080101,孵化蛋壳,孵化器只认识蛋蛋，总的装个样子骗它吧。,D080101,1000,1,1,99,1,1,1,1,-1,1,,
D090101,宠物蛋1,灰色宠物蛋,D090101,1000,1,1,1,1,1,1,1,-1,1,,
D090102,宠物蛋2,绿色宠物蛋,D090102,1000,1,1,1,1,1,1,1,-1,1,,
D090103,宠物蛋3,蓝色宠物蛋,D090103,1000,1,1,1,1,1,1,1,-1,1,,
D090104,宠物蛋4,紫色宠物蛋,D090104,1000,1,1,1,1,1,1,1,-1,1,,
D090105,宠物蛋5,橙色宠物蛋,D090105,1000,1,1,1,1,1,1,1,-1,1,,
D090201,开心果,宠物食物，提升宠物亲密度,D090201,1000,1,1,99,1,1,1,1,-1,1,,
D090202,奇趣糖,宠物食物，提升宠物好奇心,D090202,1000,1,1,99,1,1,1,1,-1,1,,
D090203,玲珑饼干,宠物食物，提升宠物才智点,D090203,1000,1,1,99,1,1,1,1,-1,1,,
D090301,好奇烙印,一种奇怪的烙印晶体，主要用于升级好奇型宠物技能,D090301,1000,1,1,20,1,1,1,1,-1,1,,
D090302,勇猛烙印,一种奇怪的烙印晶体，主要用于升级勇猛型宠物技能,D090302,1000,1,1,20,1,1,1,1,-1,1,,
D090303,爱心烙印,一种奇怪的烙印晶体，主要用于升级爱心型宠物技能,D090303,1000,1,1,20,1,1,1,1,-1,1,,
D090304,邪恶烙印,一种奇怪的烙印晶体，主要用于升级掠夺型宠物技能,D090304,1000,1,1,20,1,1,1,1,-1,1,,
D090401,悟智花,可以开启宠物智慧的花朵，用于激活宠物技能,D090401,1000,1,1,20,1,1,1,1,-1,1,,
D090402,水晶冰,特别的冰，用于升级宠物技能,D090402,1000,1,1,20,1,1,1,1,-1,1,,
D090403,幸运草,被幸运灌注的草，用于升级宠物技能,D090403,1000,1,1,20,1,1,1,1,-1,1,,
D090404,诅咒树叶,拥有邪恶力量的树叶，可以用于升级宠物技能,D090404,1000,1,1,20,1,1,1,1,-1,1,,
D090405,魔力卡片,魔幻般的卡牌，可以升级宠物技能,D090405,1000,1,1,20,1,1,1,1,-1,1,,
D090406,隐秘意识,一些散乱的意识残骸，通常用来激发宠物本能,D090406,1000,1,1,20,1,1,1,1,-1,1,,
D100101,腐毒之球,携带诡异能量的晶体，可以腐蚀记忆，用来遗忘技能,D100101,1000,1,1,20,1,1,1,1,-1,1,,
D100102,战斗决心,带着战斗渴望的物品，可以升级第一战斗技能。,D100102,1000,1,1,20,1,1,1,1,-1,1,,
D100103,觉醒决心,带着觉醒渴望的物品，可以升级觉醒技能,D100103,1000,1,1,20,1,1,1,1,-1,1,,
D100104,胜利决心,带着胜利渴望的物品，可以升级第三战斗技能,D100104,1000,1,1,20,1,1,1,1,-1,1,,
D100105,不灭精华,神奇物品，可以升级第四技能,D100105,1000,1,1,20,1,1,1,1,-1,1,,
D100106,源泉精华,稀有物品，可以升级第五技能,D100106,1000,1,1,20,1,1,1,1,-1,1,,
D100107,幻影之尘,诡异物品，可以升级第六技能,D100107,1000,1,1,20,1,1,1,1,-1,1,,
D100108,记忆碎片,一些零碎的记忆片段，巧合的情况下可以组成技能记忆,D100108,1000,1,1,20,1,1,1,1,-1,1,,
