ID,副本名称,开启条件,开启条件数值,场景资源,通关经验奖励,通关金钱奖励,通关物品组,事件1,事件2,事件3,事件4,事件5,事件6,事件7,事件8,事件9,事件10,事件11,事件12,事件13,事件14,事件15
Ins11403,冰晶迷宫,1,,,,,,,,,,,,,,,E114031,E114032,,,,
Ins11404,阻止结界开启,1,,,,,,,,,,,,,,,E114041,E114042,,,,
Ins11501,拯救族人,1,,,,,,,,,,,,,,,E115011,E115012,,,,
Ins11502,护送自己,1,,,,,,,,,,,,,,,E115021,,,,,
Ins11503,寻找B1,1,,,,,,,,,,,,,,,E115031,E115032,,,,
Ins11504,寻找B2,1,,,,,,,,,,,,,,,E115041,E115042,,,,
Ins21501,火焰精灵,1,,,,,,,,,,,,,,,E215011,,,,,
Ins11601,冰雪长城1,1,,,,,,,,,,,,,,,E116011,E116012,,,,
Ins11602,冰雪长城2,1,,,,,,,,,,,,,,,E116021,E116022,,,,
Ins11603,冰雪长城3,1,,,,,,,,,,,,,,,E116031,E116032,,,,
Ins21601,末日开启,1,,,,,,,,,,,,,,,E216011,E216012,E216013,E216014,,
