怪物ID,,怪物名称（name）,等级（LV）,美术资源（res of animation）,怪物类别,攻击方式（attack distance）,生命（HP）,攻击（Atc）,防御（Def）,速度（Speed）,幸运（Focus）,闪避（dodge）,反击（Fight back）,格挡（block）,暴击（crit）,经验（Exp）,金钱（Money）,物品1（Item1）,物品2（Item2）,物品2（Item2）
M10604,6,吸血鬼,21,血妖,0,1,9348,854,521,1886,16,5,4.5,5,4.9,50,,,,
M10605,6,雪妖,21,大雪人,0,0,9674,867,543,1851,16,5,4.6,5.3,5,100,,,,
M10606,6,冰虫,21,冰晶虫,0,0,10385,932,576,1818,17,5.1,4.7,5.5,5.5,60,,,,
M10607,6,初级鬼魔,22,小恶魔,0,0,11230,967,593,1818,17,5.2,4.8,5.7,6,70,,,,
M10608,6,冰晶骷髅,24,冰晶骷髅,0,0,12834,975,601,1785,17,5.3,4.9,5.9,6.5,80,,,,
M10701,7,游荡小兵,25,丛林小兵,0,1,,,,,,,,,,,,,,
M10702,7,丛林树人,26,树精,0,1,,,,,,,,,,,,,,
M10703,7,丛林收割者,27,丛林收割者,0,1,,,,,,,,,,,,,,
M10704,7,飞镰刺客,27,飞廉怪,0,0,,,,,,,,,,,,,,
M10705,7,沼泽甲虫,28,大甲虫,0,1,,,,,,,,,,,,,,
M10706,7,变异甲虫,28,大甲虫,1,1,,,,,,,,,,,,,,
M10707,7,沼泽毒蝎,28,沙漠毒蝎,1,1,,,,,,,,,,,,,,
M10708,7,刺客首领,28,飞廉怪,1,0,,,,,,,,,,,,,,
M10709,7,火焰史莱姆,28,火焰史莱姆,1,0,,,,,,,,,,,,,,
M10710,7,火焰怪,28,火魔,1,0,,,,,,,,,,,,,,
M10801,8,沙漠守卫,27,仙人掌,0,1,,,,,,,,,,,,,,
M10802,8,砂岩守卫,28,大脸怪,0,1,,,,,,,,,,,,,,
M10803,8,上古沙虫,28,冰晶虫,0,1,,,,,,,,,,,,,,
M10804,8,沙漠毒蝎,29,沙漠毒蝎,0,1,,,,,,,,,,,,,,
M10805,8,水晶沙虫,29,冰晶虫,0,0,,,,,,,,,,,,,,
M10806,8,绿洲守卫,29,丛林收割者,0,1,,,,,,,,,,,,,,
M10807,8,流沙亡魂,30,上古沙魂,0,1,,,,,,,,,,,,,,
M10808,8,灵泉守护者,31,守护兽,1,1,,,,,,,,,,,,,,
M10901,9,火焰灵体,31,火灵,0,0,,,,,,,,,,,,,,
M10902,9,火魔,31,火魔,0,0,,,,,,,,,,,,,,
M10903,9,小幽灵,31,水鬼,0,1,,,,,,,,,,,,,,
M10904,9,洞窟雪人,32,大雪人,0,1,,,,,,,,,,,,,,
M10905,9,上古火魂,33,上古火魂,0,1,,,,,,,,,,,,,,
M10906,9,火焰精灵,33,火焰精灵,1,0,,,,,,,,,,,,,,
M11001,10,岩石怪物,33,大脸怪,0,1,,,,,,,,,,,,,,
M11002,10,烈焰恶魔,33,小恶魔,0,1,,,,,,,,,,,,,,
M11003,10,死灵猎手,33,亡灵杀手,0,0,,,,,,,,,,,,,,
M11004,10,元素灵体,33,火灵,0,0,,,,,,,,,,,,,,
M11005,10,魔化火焰,33,火魔,0,1,,,,,,,,,,,,,,
M11006,10,迷宫火焰,33,火焰史莱姆,0,1,,,,,,,,,,,,,,
M11101,11,死亡晶虫,34,冰晶虫,0,1,,,,,,,,,,,,,,
M11102,11,冰晶魔骨,34,冰晶骷髅,0,1,,,,,,,,,,,,,,
M11103,11,远古雪人,34,大雪人,0,1,,,,,,,,,,,,,,
M11104,11,大冰人,34,上古冰魂,0,1,,,,,,,,,,,,,,
M11105,11,思维守卫,35,小机器人,0,1,,,,,,,,,,,,,,
M11106,11,思维重兵,35,守护重兵,0,1,,,,,,,,,,,,,,
M11107,11,思维守护者,36,思维守护者,0,0,,,,,,,,,,,,,,
M11108,11,时间傀儡,36,时间傀儡,1,1,,,,,,,,,,,,,,
M11201,12,游荡幽灵,37,水鬼,0,1,,,,,,,,,,,,,,
M11202,12,山地精怪,38,狗龙,0,1,,,,,,,,,,,,,,
M11203,12,毒蝎怪,39,沙漠毒蝎,0,1,,,,,,,,,,,,,,
M11204,12,山地甲虫,39,沼泽甲虫,0,1,,,,,,,,,,,,,,
M11205,12,魔化血妖,39,血妖,0,1,,,,,,,,,,,,,,
M11206,12,发疯的妹子,41,月亮公主,1,1,,,,,,,,,,,,,,
M11301,13,突袭忍者,41,飞廉怪,0,0,,,,,,,,,,,,,,
M11302,13,魔化水元素,43,水泡泡,0,0,,,,,,,,,,,,,,
M11303,13,山地树精,43,树妖,0,1,,,,,,,,,,,,,,
M11304,13,灵魂医师,43,灵魂医师,1,0,,,,,,,,,,,,,,
M11305,13,暗夜守卫,44,丛林小兵,0,1,,,,,,,,,,,,,,
M11306,13,魔化野猪怪,45,野猪怪,0,0,,,,,,,,,,,,,,
M11307,13,蝠妖杀手,45,蝙蝠妖,0,0,,,,,,,,,,,,,,
M11308,13,冰虫,45,水晶虫,1,0,,,,,,,,,,,,,,
M11401,14,魔化史莱姆,40,火焰史莱姆,0,0,,,,,,,,,,,,,,
M11402,14,熔岩火焰,40,火灵,0,0,,,,,,,,,,,,,,
M11403,14,魔化冰虫,40,冰晶沙虫,0,1,,,,,,,,,,,,,,
M11404,14,上古雪人,40,大雪人,0,1,,,,,,,,,,,,,,
M11405,14,火焰恶魔,40,火魔,0,1,,,,,,,,,,,,,,
M11501,15,魔化骷髅,40,冰晶骷髅,0,1,,,,,,,,,,,,,,
M11502,15,火元素,40,火灵,0,0,,,,,,,,,,,,,,
M11503,15,冰魂,40,上古冰魂,0,1,,,,,,,,,,,,,,
M11504,15,魔化沙魂,40,上古沙魂,0,1,,,,,,,,,,,,,,
M11505,15,复仇火焰,40,上古火魂,0,1,,,,,,,,,,,,,,
M11506,15,火焰精灵,42,火焰精灵,1,0,,,,,,,,,,,,,,
M11601,16,魔化水鬼,40,水鬼,0,1,,,,,,,,,,,,,,
M11602,16,魔化雪人,40,大雪人,0,1,,,,,,,,,,,,,,
M11603,16,上古冰魂,40,上古冰魂,0,1,,,,,,,,,,,,,,
M11604,16,死灵杀手,40,死灵杀手,0,0,,,,,,,,,,,,,,
M11605,16,上古冰虫,40,冰晶虫,0,1,,,,,,,,,,,,,,
