ID,显示名称,阵型0,阵型1,阵型2,阵型3,阵型4,阵型5,阵型6
MG204011,,M10402,M10402,,,,,
MG204012,,M10402,,,,M10402,,
MG204013,,,M10402,,,M20401,,
MG105011,,M10402,,M10402,,,,M10402
MG105012,,,M10501,M10501,,,,M10402
MG105013,,M10402,M10502,,,M10501,,
MG105014,,M10402,,,M10501,,M10501,
MG105015,,M10502,,M10502,,,M10501,
MG105016,,,M10502,M10502,M10502,,,
MG105021,,,,,M10501,M10501,M10501,
MG105022,,,M10502,M10501,,,,M10501
MG105023,,M10502,M10501,M10502,,,,
MG105024,,M10503,M10503,,,,,M10504
MG105025,,,,M10503,,,M10504,M10504
MG105031,,,,M10504,M10503,,,M10503
MG105032,,,,M10503,M10505,,M10504,
MG105033,,M10505,M10504,M10505,,,,
MG105034,,,M10504,M10505,,,,M10504
MG105035,,,M10505,M10505,,,M10505,
MG205011,,,M10504,,M10504,,M10505,
MG205012,,,,M10505,,M20501,,M10505
MG105041,,M10505,M10505,,,M10505,,
MG105042,,,M10506,,M10506,,M10506,
MG105043,,M10505,,,M10505,,M10505,
MG105044,,,,,M10507,M10507,M10507,
MG105045,,,M10506,M10506,,,,M10506
MG105046,,M10507,M10507,,,M10507,,
MG205021,,M10505,,,M10506,,M10505,
MG205022,,,M10505,M10506,,,,M10506
MG205023,,M20502,M20503,,,M20504,,
MG105051,,M10507,,M10510,,,,M10507
MG105052,,,M10507,M10507,,,,M10510
MG105053,,M10510,M10507,M10510,,,,
MG105054,,,M10509,,M10509,,M10509,
MG105055,,,,,M10508,M10508,M10508,
MG105056,,,,M10509,,M10508,,M10508
MG105061,,,M10509,,M10508,,M10508,
MG105062,,,,,M10508,M10508,M10508,
MG105063,,,M10509,M10508,,,,M10508
MG105064,,,,M10508,M10509,,,M10510
MG105065,,M10509,M10509,,,M10510,,
MG205031,,M10510,,,M10510,M10510,,
MG205032,,,M10510,,M10509,,,M10509
MG205033,,M20505,M10509,,,M10510,,
MG106011,,,,,M10601,M10602,M10603,
MG106012,,,M10602,M10603,,,,M10601
MG106013,,M10601,,M10602,,,,M10603
MG106014,,M10601,,,M10602,,M10603,
MG106015,,,,,M10601,M10602,M10603,
MG106016,,,M10602,,M10601,,M10603,
MG106021,,M10601,,M10604,,,M10601,
MG106022,,M10604,M10604,,,M10604,,
MG106023,,M10601,M10604,,,M10604,,
MG106024,,M10601,M10604,,,,,
MG106025,,,M10604,,M10601,,M10605,
MG106026,,M10601,M10604,,,M10605,,
MG106031,,,,M10603,M10604,,M10604,M10605
MG106032,,M10603,M10604,M10604,,,,M10605
MG106033,,M10603,,,M10605,M10605,M10605,
MG106034,,M10603,M10605,M10605,,,,M10605
MG106035,,,M10604,M10604,,M10605,M10605,
MG106036,,M10604,M10604,,M10605,,M10605,
MG106041,,M10605,M10606,M10606,,,M10607,
MG106042,,M10605,M10606,M10606,,M10607,,
MG106043,,M10605,M10606,M10606,,,,M10607
MG106044,,M10605,M10606,,M10607,,M10607,
MG106045,,M10605,,M10606,,M10606,,M10607
MG106046,,M10605,,M10607,M10607,M10606,,
MG106051,,,,M10606,M10606,,M10607,M10607
MG106052,,,,M10606,M10606,,M10607,M10607
MG106053,,,M10606,M10606,,M10607,M10607,
MG106054,,,M10606,,M10607,M10607,,M10606
MG106055,,,,M10608,M10608,M10608,M10607,
MG106056,,,M10608,,,M10607,M10608,M10608
